country,country_iso,core_city,uc_id,cc_avg_dir,cc_avg_undir,cc_wt_avg_dir,cc_wt_avg_undir,circuity,elev_iqr,elev_mean,elev_median,elev_range,elev_std,grade_mean,grade_median,intersect_count,intersect_count_clean,intersect_count_clean_topo,k_avg,length_mean,length_median,length_total,street_segment_count,node_count,orientation_entropy,orientation_order,pagerank_max,prop_4way,prop_3way,prop_deadend,self_loop_proportion,straightness,uc_names,world_region,world_subregion,resident_pop,area,built_up_area,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_count,10way_int_prop,11way_int_count,11way_int_prop,12way_int_count,13way_int_count,14way_int_count,15way_int_count,16way_int_count,17way_int_count,18way_int_count,19way_int_count,20way_int_count,21way_int_count,22way_int_count,23way_int_count,24way_int_count,25way_int_count,26way_int_count,27way_int_count,28way_int_count,12way_int_prop,13way_int_prop,14way_int_prop,15way_int_prop,16way_int_prop,17way_int_prop,18way_int_prop,19way_int_prop,20way_int_prop,21way_int_prop,22way_int_prop,23way_int_prop,24way_int_prop,25way_int_prop,26way_int_prop,27way_int_prop,28way_int_prop,pop_density,prop_used_area,planned
morocco,MAR,dar_bouazza,1574,0.0520561083061084,0.0704633204633205,0.0021638014625523,0.0024318548019102,1.0754348310466262,6.0,18.595559845559844,19.0,57.0,6.041046360982962,0.0218563864990072,0.008,963,731,733,2.916988416988417,109.83578292521509,58.531,165961.868,1511,1036,3.3273970312275907,0.2195445503009283,0.0036403208962428,0.0974903474903474,0.8223938223938224,0.0704633204633204,0.0026472534745201,0.9298564367929092,Dar Bouazza,Africa,Northern Africa,78373,28.0,3.61705040932,2.9469111969111967,286.4212224774513,266.2390320905266,82099.35980843227,45883.20571158434,73,10,852,101.0,0.0,0.0,0.0096525096525096,0.0,0.0,0.0062423978018854,0.9015594541910332,0.7928676111382511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21667.654893074603,0.1291803717614285,0
uzbekistan,UZB,guzar,5993,0.021316280309086,0.0235811350919264,0.0023149372415146,0.0024265321175064,1.0573344441241992,20.0,529.7921662669864,528.0,82.0,13.122498641018533,0.0124729381443298,0.009,925,862,864,2.4812150279776177,153.61913788659794,108.7505,238416.902,1552,1251,3.5359097650437925,0.0428662406577814,0.0019825616392221,0.0695443645083932,0.6682653876898481,0.2605915267785771,0.0,0.945774542347677,Guzar,Asia,South-Central Asia,94101,24.0,8.95100688934,2.551558752997602,139.76081299745732,103.34032935463472,52968.39314967373,26635.76343393691,326,0,836,87.0,2.0,0.0,0.0,0.0015987210231814,0.0,0.0052471112136168,0.9288569144684252,0.7272727272727273,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10512.895494703223,0.3729586203891666,0
brazil,BRA,itaituba,1055,0.0218160627251536,0.0252066115702479,0.0019051162692968,0.001961279907857,1.0134624175589424,9.0,23.157851239669423,24.0,29.0,5.720455829676052,0.0200181268882175,0.013,1110,1002,1006,3.282644628099173,105.14999295065458,82.24350000000001,208827.886,1986,1210,2.679607601173841,0.6535356524577631,0.002067091050213,0.4917355371900826,0.4256198347107438,0.0826446280991735,0.0005035246727089,0.986716411654052,Itaituba,Latin America and the Caribbean,South America,65316,15.0,6.84187507629,3.3264462809917354,176.85210362772676,162.23622729485675,58640.1637747463,30522.02556630664,100,0,515,595.0,0.0,0.0,0.0,0.0,0.0,0.0057942453145362,0.5082644628099173,1.060041407867495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9546.505785577356,0.456125005086,1
brazil,BRA,aracatuba,1171,0.022295519115558,0.0294747081712062,0.0005146728123639,0.0006001372702492,1.012319470856434,18.0,393.0321011673152,396.0,75.0,14.890517644606646,0.023169214732453,0.015,4960,4270,4304,3.359533073929961,94.164248320593,76.87100000000001,813014.12,8634,5140,3.347784307991994,0.2030643099667558,0.0007319627082837,0.4607003891050583,0.5003891050583658,0.0350194552529182,0.0001158211721102,0.9878304515411408,Araçatuba,Latin America and the Caribbean,South America,173347,48.0,19.8162631989,3.392023346303502,259.3829093007465,250.29946111511728,71861.43945035253,41027.620184472085,180,11,2572,2368.0,9.0,0.0,0.0021400778210116,0.0017509727626459,0.0,0.0063221534209024,0.5365568336907779,0.9677167658246368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8747.713847968193,0.41283881664375,1
nigeria,NGA,kafanchan,2712,0.0434150076569679,0.0464522715671261,0.001901474250663,0.0019296418710273,1.0564122947534889,19.0,745.8920367534456,743.0,85.0,13.323668255095074,0.0159955232232792,0.011,1062,965,965,2.7366003062787136,134.66656855064355,88.267,240649.158,1787,1306,3.487703242658285,0.0853135818528283,0.0021723293262565,0.1424196018376722,0.6699846860643185,0.1868300153139356,0.0005595970900951,0.9466001152829704,Kafanchan,Africa,Western Africa,234795,37.0,4.6665058136,2.770290964777948,279.8667894495731,227.57927289084736,103003.07964883646,51569.45423675582,244,0,875,186.0,1.0,0.0,0.0,0.0007656967840735,0.0,0.0054269876148912,0.8568147013782542,0.857307249712313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50314.94856723776,0.1261217787459459,0
mexico,MEX,ciudad_mante,201,0.0224889321256111,0.0242834279063,0.000697241223313,0.0007275677643704,1.0150914140900067,6.0,79.15364469663902,79.0,31.0,4.3719988866616575,0.0163016004415011,0.01,2047,1856,1861,3.163683980794413,93.24187279249448,87.342,337908.547,3624,2291,2.342545833140109,0.8105933002491669,0.001155807702891,0.4072457442164993,0.484941073766914,0.1065037101702313,0.0002759381898454,0.985132950707168,Ciudad Mante,Latin America and the Caribbean,Central America,76279,21.0,13.161272049,3.196857267568747,174.0713201178811,155.53207869109673,47828.38137958164,25674.45956150379,244,0,1111,933.0,3.0,0.0,0.0,0.0013094718463553,0.0,0.0067799409643225,0.5914447839371454,0.9768407253659602,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5795.716380301987,0.6267272404285714,1
iraq,IRQ,ad_diwaniyah,5428,0.0115161401098901,0.0134386446886446,0.0004841791414429,0.0005213907974298,1.0191107356617854,2.0,23.75291895604396,24.0,13.0,1.4552368540960483,0.0099626446659791,0.0,5556,4901,4994,2.996909340659341,89.68797983270309,57.955,782706.9999999999,8727,5824,3.211780438907531,0.3097472369600128,0.0006439628659333,0.0916895604395604,0.8616071428571429,0.0460164835164835,0.0,0.9812476358132216,Ad Diwaniyah,Asia,Western Asia,1017084,59.0,13.7697572708,3.0,422.9558942444333,403.4929513087347,103483.43590788782,56842.46894168586,268,2,5018,534.0,2.0,0.0,0.0003434065934065,0.0003434065934065,0.0,0.0074408431252051,0.9079354173823428,0.8983589655468683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73863.61139108948,0.2333857164542372,1
brazil,BRA,sao_felix_do_xingu,1110,0.0195593758093758,0.0199915824915824,0.0022883826535824,0.0023207480581048,1.017738904058206,13.0,201.1224747474748,200.0,78.0,9.31952261827204,0.0280531914893617,0.019,719,678,686,3.323232323232323,101.5811945288754,86.994,133680.852,1316,792,2.798591800045069,0.5868541005553874,0.0027369693825012,0.547979797979798,0.3585858585858585,0.0921717171717171,0.0,0.9825702800713696,São Félix do Xingu,Latin America and the Caribbean,South America,52202,10.0,3.25809431076,3.362373737373737,243.08688590885328,220.68115021270896,77442.24320539835,41030.38133626551,73,1,284,434.0,0.0,0.0,0.0012626262626262,0.0,0.0,0.0059245582905171,0.4513274336283185,1.0856055802155993,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16022.249517946915,0.3258094310759999,1
brazil,BRA,acailandia,1199,0.0253594720763395,0.0290829986613119,0.0013867621754132,0.0014596640132497,1.015245489942107,26.0,246.91315261044176,247.0,104.0,18.23078755754013,0.0372660550458715,0.023,1819,1634,1643,3.173694779116466,88.76942929452704,73.126,280600.166,3161,1992,3.214850511731953,0.3074235728886783,0.001510708409196,0.4081325301204819,0.5040160642570282,0.0868473895582329,0.000316355583676,0.9849834447991722,Açailândia,Latin America and the Caribbean,South America,83453,17.0,8.50033473969,3.2349397590361444,234.3437124539223,213.991572767914,63971.10168626477,33010.48424479255,173,1,1004,813.0,1.0,0.0,0.0005020080321285,0.0005020080321285,0.0,0.0070990692143781,0.5911602209944752,1.0294191601709832,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9817.613371193363,0.5000196905700001,1
brazil,BRA,tailandia,1156,0.0107350800582241,0.0107350800582241,0.0005504892281775,0.0005504892281775,1.0080259362901356,4.0,47.89519650655022,48.0,13.0,2.5392952993066165,0.0105201822916666,0.007,873,808,809,3.353711790393013,103.404958984375,88.66,158830.017,1536,916,2.2681409515581388,0.8389216457537678,0.0029091562679446,0.4945414847161572,0.4585152838427948,0.046943231441048,0.0,0.9920379664836068,Tailândia,Latin America and the Caribbean,South America,85044,10.0,4.92603683472,3.400655021834061,185.9507004786874,177.22157370949137,64083.24086718765,32242.961701082728,43,0,420,453.0,0.0,0.0,0.0,0.0,0.0,0.005767171831254,0.5054585152838428,1.1718664477285168,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17264.182719988527,0.4926036834719999,1
chad,TCD,sarh,3352,0.0472392638036808,0.0480257983325466,0.0016465939497478,0.0016549155533588,1.012514190119162,2.0,366.52524775837657,366.0,20.0,1.9257216305479288,0.0112170758928571,0.007,2073,1870,1875,3.3827277017461066,94.43479017857145,75.21549999999999,338454.288,3584,2119,2.755234899861571,0.6118315149489236,0.0011100236718146,0.4615384615384615,0.514865502595564,0.0217083529966965,0.0,0.9876404792729974,Sarh,Africa,Middle Africa,329481,26.0,11.696969986,3.422369042000944,181.15802661169624,177.22538422182458,57520.58257867528,28935.21043527463,46,0,1091,978.0,3.0,1.0,0.0,0.0014157621519584,0.0004719207173194,0.0062608159362424,0.5365738555922605,1.1778880226789512,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28168.06407081089,0.449883461,1
south_africa,ZAF,potchefstroom,3627,0.0761795891318755,0.0834990059642151,0.0025572237747544,0.0026484451417739,1.1112882501051882,45.0,1374.5992047713717,1373.0,126.0,27.37558097529442,0.0192525280131183,0.011,2290,2163,2165,2.909741550695825,142.07957666028972,95.157,519869.171,3659,2515,3.431663351804065,0.1334483801958321,0.0011609271408324,0.1343936381709741,0.7749502982107356,0.0894632206759443,0.0065591691719048,0.8998565402858761,Potchefstroom,Africa,Southern Africa,144539,50.0,19.0325965881,2.95427435387674,132.14171741403308,120.31989378852316,52445.69401655396,27314.673990675827,225,3,1949,338.0,0.0,0.0,0.0011928429423459,0.0,0.0,0.0048377556129405,0.8654458598726115,0.9153217772464636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7594.286955589235,0.3806519317619999,0
brazil,BRA,castanhal,1183,0.0175547376032813,0.0202034211742949,0.0010015957839582,0.0010549067525614,1.0107414722674954,8.0,41.77891816920943,42.0,44.0,5.588228813412065,0.0142311781855599,0.009,3345,3000,3015,3.23495145631068,97.84348070656834,76.241,570525.336,5831,3605,2.602692017956341,0.6935199193176637,0.0008331976190161,0.4235783633841886,0.5042995839112344,0.0721220527045769,0.0001714971702966,0.9893726807871076,Castanhal,Latin America and the Caribbean,South America,163829,39.0,18.8188762665,3.279334257975034,191.56297905084588,177.747063779495,58100.85339401397,30316.65270128841,260,0,1818,1527.0,0.0,0.0,0.0,0.0,0.0,0.0063187377887105,0.5764216366158114,1.043442054129077,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8705.567626885168,0.4825352888846153,1
democratic_republic_of_the_congo,COD,bandundu,3319,0.0150592758731175,0.0150592758731175,0.0008203187858113,0.0008203187858113,1.014190284526958,10.0,310.65491829541816,311.0,32.0,6.841318356889219,0.0163631090487238,0.012,2852,2744,2744,3.31432233258571,82.19902165506575,62.7015,425133.34,5172,3121,2.7536078930958734,0.6127536549959081,0.0008160004908235,0.5036847164370394,0.4091637295738545,0.0861903236142262,0.0,0.9860082622132624,Bandundu,Africa,Middle Africa,179462,29.0,14.1347932816,3.333226529958347,220.8026631746196,201.7716101807161,60154.16448338435,30077.08224169215,269,0,1277,1572.0,3.0,0.0,0.0,0.0009612303748798,0.0,0.0073412261668303,0.4953540531880807,1.1582491582491583,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12696.47149588067,0.4874066648827586,1
sudan,SDN,kosti,4389,0.0062460165710643,0.0062460165710643,0.0003010153802927,0.0003010153802927,1.0064544227196774,2.0,387.2929254302104,387.0,17.0,1.805054326287352,0.0151918777093315,0.008,5185,4639,4642,3.3521988527724664,71.06904186630162,59.3055,622991.221,8766,5230,2.869130466638629,0.5445534593381587,0.0005869455036845,0.4038240917782026,0.5875717017208413,0.008604206500956,0.0,0.9935869696888648,Kosti,Africa,Northern Africa,485519,32.0,6.80180358887,3.3866156787762907,768.9137052645874,762.2978129630757,183184.12546325728,91592.06273162864,45,0,3073,2112.0,0.0,0.0,0.0,0.0,0.0,0.0083949818612291,0.5961759082217973,1.1767575322812052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71380.92031861514,0.2125563621521875,1
el_salvador,SLV,lourdes,316,0.0188349781595775,0.0248961248198083,0.0006452252860236,0.0007240107807819,1.0343522126106337,90.0,524.6904095649962,532.0,300.0,50.326754777380046,0.0287702702702702,0.015,2848,2388,2408,2.597812261511066,99.48931903642772,62.229,507992.463,5106,3931,3.450510651639643,0.1174049126364042,0.000916804076728,0.1722208089544645,0.551259221572119,0.2755024166878657,0.0015667841754798,0.9667886700566618,Lourdes,Latin America and the Caribbean,Central America,184552,54.0,17.291841507,2.6209615873823453,227.3326411422792,164.70194911554597,53545.46892100424,29377.58033430716,1083,3,2167,677.0,1.0,0.0,0.000763164589163,0.0002543881963876,0.0,0.0077383037866055,0.8273930753564155,0.6976181378168386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10672.778831872276,0.3202192871666667,0
spain,ESP,arrecife,1514,0.0296482094362211,0.0557504873294345,0.0005749720087646,0.0010089133104008,1.0398943736962376,23.25,26.471247563352826,21.0,80.0,16.008275888782308,0.0357708929138862,0.018,1919,1512,1526,3.067251461988304,80.3170241499841,50.181,252757.675,3147,2052,3.5262887939807768,0.0514146990954001,0.0024223767961147,0.2251461988304093,0.6939571150097466,0.0648148148148148,0.0003177629488401,0.9616361289133284,Arrecife,Europe,Southern Europe,58676,19.0,3.80165982246,3.088206627680312,539.7642334742565,504.7795146379621,84245.04162835817,66486.1367939134,133,27,1424,462.0,6.0,0.0,0.0131578947368421,0.0029239766081871,0.0,0.0081184478374395,0.7688888888888888,0.4519159456118665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15434.31099577752,0.2000873590768421,0
japan,JPN,mobara,13001,0.0300229931323909,0.0307391091532059,0.0023644414243464,0.0023972912162966,1.0426804961731084,3.0,10.473813020068526,10.0,54.0,2.3368003730816627,0.015333977851995,0.007,3422,2973,2978,2.7846304454233968,71.39803357356301,54.46,406183.413,5689,4086,3.299388997002436,0.2419043379890501,0.0006918390426127,0.1603034752814488,0.6752325012236906,0.162506118453255,0.0014062225347161,0.9590665632187844,Mobara,Asia,Eastern Asia,54413,22.0,14.782541275,2.83920704845815,276.40714299307785,231.4892910725189,54196.91784354588,27477.23855078496,664,0,2759,655.0,8.0,0.0,0.0,0.0019579050416054,0.0,0.0100594949700715,0.8377386196769456,0.8771886861760745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680.896199628572,0.6719336943181818,0
malaysia,MYS,bintulu,12658,0.0333497467218397,0.0491073525957245,0.0012405581653052,0.0015854357418816,1.05832834237726,12.0,14.019027484143765,11.0,58.0,8.921878715564743,0.027084082342708,0.011,1980,1636,1668,2.430584918957012,99.35283734415772,70.312,342667.936,3449,2838,3.3207407444345454,0.224887934076396,0.0013648563726303,0.0630725863284002,0.6331923890063424,0.3023255813953488,0.0011597564511452,0.9448863457192872,Bintulu,Asia,South-Eastern Asia,101435,40.0,12.6949577332,2.4584214235377027,223.55332405542632,155.96743538750673,46108.83299510233,26992.44402396479,858,3,1797,179.0,0.0,1.0,0.0010570824524312,0.0,0.000352360817477,0.0082820704882058,0.9365079365079364,0.5609885260370697,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7990.180206329164,0.31737394333,0
